Project,Trip,StationID,Date,Filename,CTD in [UTC],CTD out [UTC],Cast Depth Screen (m),Depth Sounder (m),Total Depth Sounder depth plus 2m Xduser offset (m),UWA Niskin Bottle No. + Depth (m),UWA Bottles,LISST Raw Filename,Comment,LISST NC Filename
KISSME2017,KISSME2017Deployment,,6/04/2017,SP250_12hr_neap_011,2:57,3:09,248,257,259,"248 (1), 222 (2), 191 (3+4), 161 (5+6), 120 (7)",Y,,UWA 7 bottles,
KISSME2017,KISSME2017Deployment,,6/04/2017,SP250_12hr_neap_012,3:55,4:07,248,259,261,,,L0960351,,L0960351-A_rs
KISSME2017,KISSME2017Deployment,,6/04/2017,SP250_12hr_neap_013,4:08,4:17,244,259,261,,,L0960351,,L0960351-B_rs
KISSME2017,KISSME2017Deployment,,6/04/2017,SP250_12hr_neap_014,4:19,5:31,245,259,261,,,L0960351,,L0960351-C_rs
KISSME2017,KISSME2017Deployment,,6/04/2017,SP250_12hr_neap_015,5:31,5:47,249,257,259,,,L0960531,CSIRO 6 bottles,L0960531_rs
KISSME2017,KISSME2017Deployment,,6/04/2017,SP250_12hr_neap_016,7:00,7:13,248,257,259,,,L0960655,,L0960655-A_rs
KISSME2017,KISSME2017Deployment,,6/04/2017,SP250_12hr_neap_017,7:13,7:27,247,257,259,"247 (1), 222 (2), 191 (3+4), 161 (5+6), 125.5 (7)",Y,L0960655,UWA 7 bottles,L0960655-B_rs
KISSME2017,KISSME2017Deployment,,6/04/2017,SP250_12hr_neap_018,7:45,7:57,248,257,259,,,L0960743,,L0960743_rs
KISSME2017,KISSME2017Deployment,,6/04/2017,SP250_12hr_neap_019,8:22,8:36,248,257,259,,,L0960822,,L0960822-A_rs
KISSME2017,KISSME2017Deployment,,6/04/2017,SP250_12hr_neap_020,8:36,8:46,248,257,259,,,L0960822,,L0960822-B_rs
KISSME2017,KISSME2017Deployment,,6/04/2017,SP250_12hr_neap_021,9:31,9:46,247,257,259,,,L0960856,,L0960856_rs
KISSME2017,KISSME2017Deployment,,7/04/2017,UWAD_transect_001,1:46,1:57,142,147,149,,,L0970144,"Site D1, CSIRO 6 bottles",L0970144_rs
KISSME2017,KISSME2017Deployment,,7/04/2017,UWAD_transect_002,3:06,3:16,166,174,176,,,L0970304,Site D2,L0970304-A_rs
KISSME2017,KISSME2017Deployment,,7/04/2017,UWAD_transect_003,3:16,3:24,166,178,180,,,L0970304,,L0970304-B_rs
KISSME2017,KISSME2017Deployment,,7/04/2017,UWAD_transect_004,3:24,3:33,172,173,175,"172 (1+2), 141 (3+4), 111 (5+6), 81 (7+8), 51 (9+10)",,L0970304,UWA 10 bottles,L0970304-C_rs
KISSME2017,KISSME2017Deployment,,7/04/2017,UWAD_transect_005,4:05,4:15,180,189,191,,,L0970400,Site D3,L0970400-A_rs
KISSME2017,KISSME2017Deployment,,7/04/2017,UWAD_transect_006,4:16,4:25,183,197,199,,,L0970400,,L0970400-B_rs
KISSME2017,KISSME2017Deployment,,7/04/2017,UWAD_transect_007,5:20,5:32,204,213,215,,,L0970514,Site D4,L0970514_rs
KISSME2017,KISSME2017Deployment,,7/04/2017,UWAD_transect_008,6:51,7:03,225,230,232,,,L0970646,Site D5,L0970646-A_rs
KISSME2017,KISSME2017Deployment,,7/04/2017,UWAD_transect_009,7:04,7:13,227,235,237,,,L0970646,,L0970646-B_rs
KISSME2017,KISSME2017Deployment,,7/04/2017,UWAD_transect_010,7:49,8:01,242,251,253,,,L0970744,Site D6,L0970744-A_rs
KISSME2017,KISSME2017Deployment,,7/04/2017,UWAD_transect_011,8:01,8:14,248,252,254,,,L0970744,,L0970744-B_rs
