Project,Trip,StationID,Profiler in [DateUTC],Profiler in [TimeUTC],Profiler out [TimeUTC],Profiler in [Lat],Profiler in [Lon],Filename,InstrumentType,,,Cast Depth Screen (m),Depth Sounder (m),Total Depth (m),Comment,UWA Bottles,LISST Raw Filename,,LISST NC Filename,,UWA Niskin Bottle No. + Depth (m)
KISSME2017,KISSME2017Deployment,SP250_12hr_neap,6/04/2017,2:47,2:57,,,SP250_12hr_neap_010,Solander CTD,,,248,257,259,,,,,,,
KISSME2017,KISSME2017Deployment,SP250_12hr_neap,6/04/2017,2:57,3:09,,,SP250_12hr_neap_011,Solander CTD,,,248,257,259,UWA 7 bottles,Y,,,,,"248 (1), 222 (2), 191 (3+4), 161 (5+6), 120 (7)"
KISSME2017,KISSME2017Deployment,SP250_12hr_neap,6/04/2017,3:55,4:07,,,SP250_12hr_neap_012,Solander CTD,,,248,259,261,,,L0960351,,L0960351-A_rs,,
KISSME2017,KISSME2017Deployment,SP250_12hr_neap,6/04/2017,4:08,4:17,,,SP250_12hr_neap_013,Solander CTD,,,244,259,261,,,L0960351,,L0960351-B_rs,,
KISSME2017,KISSME2017Deployment,SP250_12hr_neap,6/04/2017,4:19,5:31,,,SP250_12hr_neap_014,Solander CTD,,,245,259,261,,,L0960351,,L0960351-C_rs,,
KISSME2017,KISSME2017Deployment,SP250_12hr_neap,6/04/2017,5:31,5:47,,,SP250_12hr_neap_015,Solander CTD,,,249,257,259,CSIRO 6 bottles,,L0960531,,L0960531_rs,,
KISSME2017,KISSME2017Deployment,SP250_12hr_neap,6/04/2017,7:00,7:13,,,SP250_12hr_neap_016,Solander CTD,,,248,257,259,,,L0960655,,L0960655-A_rs,,
KISSME2017,KISSME2017Deployment,SP250_12hr_neap,6/04/2017,7:13,7:27,,,SP250_12hr_neap_017,Solander CTD,,,247,257,259,UWA 7 bottles,Y,L0960655,,L0960655-B_rs,,"247 (1), 222 (2), 191 (3+4), 161 (5+6), 125.5 (7)"
KISSME2017,KISSME2017Deployment,SP250_12hr_neap,6/04/2017,7:45,7:57,,,SP250_12hr_neap_018,Solander CTD,,,248,257,259,,,L0960743,,L0960743_rs,,
KISSME2017,KISSME2017Deployment,SP250_12hr_neap,6/04/2017,8:22,8:36,,,SP250_12hr_neap_019,Solander CTD,,,248,257,259,,,L0960822,,L0960822-A_rs,,
KISSME2017,KISSME2017Deployment,SP250_12hr_neap,6/04/2017,8:36,8:46,,,SP250_12hr_neap_020,Solander CTD,,,248,257,259,,,L0960822,,L0960822-B_rs,,
KISSME2017,KISSME2017Deployment,SP250_12hr_neap,6/04/2017,9:31,9:46,,,SP250_12hr_neap_021,Solander CTD,,,247,257,259,,,L0960856,,L0960856_rs,,
